,missing_count,missing_pct
UnderwrittenCoverID,0,0.0
PolicyID,0,0.0
TransactionMonth,0,0.0
IsVATRegistered,0,0.0
Citizenship,0,0.0
LegalType,0,0.0
Title,0,0.0
Language,0,0.0
Bank,0,0.0
AccountType,0,0.0
MaritalStatus,0,0.0
Gender,0,0.0
Country,0,0.0
Province,0,0.0
PostalCode,0,0.0
MainCrestaZone,0,0.0
SubCrestaZone,0,0.0
ItemType,0,0.0
mmcode,0,0.0
VehicleType,0,0.0
RegistrationYear,0,0.0
make,0,0.0
Model,0,0.0
Cylinders,0,0.0
cubiccapacity,0,0.0
kilowatts,0,0.0
bodytype,0,0.0
NumberOfDoors,0,0.0
VehicleIntroDate,0,0.0
CustomValueEstimate,0,0.0
AlarmImmobiliser,0,0.0
TrackingDevice,0,0.0
CapitalOutstanding,0,0.0
NewVehicle,0,0.0
WrittenOff,0,0.0
Rebuilt,0,0.0
Converted,0,0.0
CrossBorder,0,0.0
NumberOfVehiclesInFleet,617510,100.0
SumInsured,0,0.0
TermFrequency,0,0.0
CalculatedPremiumPerTerm,0,0.0
ExcessSelected,0,0.0
CoverCategory,0,0.0
CoverType,0,0.0
CoverGroup,0,0.0
Section,0,0.0
Product,0,0.0
StatutoryClass,0,0.0
StatutoryRiskType,0,0.0
TotalPremium,0,0.0
TotalClaims,0,0.0
ClaimOccurred,0,0.0
